VECTOR 150
SET 44 4
CLEAR 66 5
SET 119 10
CLEAR 9 6
CLEAR 115 2
CLEAR 66 0
SET 27 5
SET 108 10
SET 72 10
CLEAR 13 10
SET 69 2
CLEAR 35 7
SET 45 5
SET 87 8
CLEAR 23 3
SET 58 4
SET 70 9
CLEAR 24 1
SET 54 0
CLEAR 27 4
SET 70 2
SET 97 1
SET 115 9
CLEAR 113 8
SET 29 2
SET 65 8
SET 55 2
SET 105 8
CLEAR 129 6
SET 80 6
SET 1 8
SET 1 10
SET 75 1
SET 22 9
CLEAR 144 10
CLEAR 121 9
SET 63 5
SET 19 3
SET 60 6
SET 84 2
CLEAR 78 1
CLEAR 125 10
SET 14 2
CLEAR 16 6
CLEAR 81 1
SET 84 8
CLEAR 135 8
CLEAR 1 6
SET 38 5
CLEAR 115 9
SET 29 6
CLEAR 70 5
SET 99 5
SET 137 5
SET 88 4
CLEAR 88 9
CLEAR 25 2
SET 22 2
CLEAR 147 5
SET 23 10
SET 41 0
SET 126 6
SET 47 9
SET 80 3
SET 122 4
SET 18 6
SET 67 10
SET 57 3
CLEAR 19 9
SET 68 7
SET 106 4
SET 92 8
SET 72 6
SET 96 2
SET 21 0
CLEAR 136 2
SET 125 8
CLEAR 49 4
SET 103 8
SET 64 4
SET 63 7
SET 79 3
CLEAR 37 8
SET 8 2
CLEAR 107 6
CLEAR 42 5
SET 29 3
CLEAR 59 10
SET 87 0
SET 8 2
SET 40 4
SET 69 8
CLEAR 19 10
CLEAR 59 2
CLEAR 66 9
SET 10 7
CLEAR 141 7
CLEAR 105 1
CLEAR 52 3
SET 86 2
SET 46 2
SET 67 6
SET 122 0
SET 146 5
SET 23 3
SET 139 3
CLEAR 46 1
SET 7 0
CLEAR 1 3
SET 2 6
CLEAR 39 5
SET 121 8
CLEAR 6 4
SET 74 10
SET 53 9
SET 42 0
SET 136 9
SET 93 1
SET 15 6
CLEAR 140 0
SET 1 2
SET 14 5
SET 148 4
CLEAR 81 3
SET 15 6
SET 79 0
SET 11 6
SET 95 7
SET 52 3
CLEAR 148 0
CLEAR 0 8
CLEAR 45 7
CLEAR 117 3
SET 93 2
SET 84 10
SET 134 6
SET 90 8
SET 30 0
CLEAR 43 6
SET 55 7
CLEAR 148 7
SET 18 8
SET 132 0
SET 116 9
CLEAR 45 9
SET 66 10
SET 8 8
SET 16 7
CLEAR 41 4
SET 139 4
SET 124 9
SET 118 4
SET 62 5
SET 98 3
SET 25 1
SET 54 0
SET 73 6
CLEAR 48 7
SET 101 6
SET 26 0
SET 111 5
CLEAR 129 7
SET 66 5
SET 88 7
SET 112 0
CLEAR 26 8
CLEAR 2 10
SET 71 8
SET 28 5
CLEAR 71 3
CLEAR 103 9
SET 44 1
CLEAR 72 10
CLEAR 48 9
SET 31 3
SET 23 0
SET 5 8
SET 107 2
SET 148 4
CLEAR 25 1
END
